=================================================
BRAZILIAN SOUTHERN EQUIVALENT SYSTEM - 2017-2025
=================================================
---------------------
BUS DATA 
---------------------
BUS NO.: Bus number
NG: Number of generating units
PGMAX: Maximum generation capacity [MW]
PGMIN: Minimum generation capacity [MW]
PGDESP: Generation dispatch [MW]
LOAD: Load [MW]
TP: Bus type
COST: Production cost [$/MWH]
FAILR: Failure rate [OCC./Y]
MTTR: Mean time to repair [H]

x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
BUS   NG PGMAX   PGMIN   PGDESP    LOAD   TP COST  FAILR    MTTR
NO.      MW      MW      MW        MW        $/MWH OCC./Y   H 
x---x xx x-----x x-----x x-------x x----x xx x---x x------x x-------x x
010 06615-44841 1 0.002000 0.009800  276.0 00.50000 018.00000 
011 06616-06619 1 0.007000 0.033800  298.0 00.50000 018.00000 
012 06616-06619 2 0.005500 0.033500  165.0 00.50000 018.00000 
013 06617-06619 1 0.001200 0.007400  385.0 00.50000 018.00000 
014 06617-07001 1 0.000908 0.003538  420.0 00.00000 001.00000 
015 06619-06664 1 0.000700 0.003900  386.0 00.50000 018.00000 
016 06619-06673 1 0.000200 0.000900  220.0 00.00000 001.00000 
017 06619-06762 1 0.003800 0.018800  298.0 00.50000 018.00000 
018 06619-07739 1 0.000110 0.000100  684.0 00.50000 018.00000 
019 06619-07739 2 0.000110 0.000100  684.0 00.50000 018.00000 
020 06619-07739 3 0.000110 0.000100  684.0 00.50000 018.00000 
021 06624-06625 1 0.002010 0.010310  350.0 00.50000 018.00000 
022 06624-06625 2 0.001700 0.010300  357.0 00.50000 018.00000 
023 06624-06625 3 0.002200 0.010900  357.0 00.50000 018.00000 
024 06624-07820 1 0.012200 0.076900  323.0 00.50000 018.00000 
025 06624-44925 1 0.010000 0.060000  284.0 00.50000 018.00000 
026 06625-44925 1 0.009200 0.057500  383.0 00.50000 018.00000 
027 06626-06755 1 0.000500 0.007300 1636.0 00.30000 020.00000 
028 06626-07760 1 0.002040 0.024590 2401.0 00.30000 020.00000 
029 06627-06615 1 0.002700 0.016100  328.0 00.50000 018.00000 
030 06627-06615 2 0.002700 0.016100  328.0 00.50000 018.00000 
031 06627-06615 3 0.003400 0.017000  325.0 00.50000 018.00000 
032 06627-06618 1 0.006100 0.032500  243.0 00.50000 018.00000 
033 06627-06688 1 0.020800 0.125800  335.0 00.50000 018.00000 
034 06627-06733 1 0.016000 0.080700  175.0 00.50000 018.00000 
035 06627-44655 1 0.006720 0.034130  300.0 00.50000 018.00000 
036 06630-06626 1 0.000813 0.013614 3096.0 00.30000 020.00000 
037 06630-06665 1 0.000001 0.015000  672.0 00.02000 150.00000 
038 06630-06665 2 0.000001 0.015000  672.0 00.02000 150.00000 
039 06649-06626 1 0.000685 0.012940 3455.0 00.30000 020.00000 
040 06649-06626 2 0.000685 0.012940 3455.0 00.30000 020.00000 
041 06651-06688 1 0.015900 0.080900  350.0 00.50000 018.00000 
042 06651-06688 2 0.015900 0.080900  350.0 00.50000 018.00000 
043 06651-07042 1 0.014420 0.080490  160.0 00.50000 018.00000 
044 06653-06624 1 0.011300 0.069900  323.0 00.50000 018.00000 
045 06653-07820 1 0.001500 0.008900  323.0 00.50000 018.00000 
046 06653-07820 2 0.001500 0.008900  323.0 00.50000 018.00000 
047 06653-44920 1 0.007650 0.047950  323.0 00.50000 018.00000 
048 06662-07748 1 0.000100 0.001240 2182.0 00.00000 001.00000 
049 06662-07748 2 0.000100 0.001270 2182.0 00.00000 001.00000 
050 06663-06731 1 0.013400 0.066900  164.0 00.50000 018.00000 
051 06664-06629 1 0.000800 0.004700  386.0 00.00000 001.00000 
052 06664-06747 1 0.000200 0.001300  315.0 00.50000 018.00000 
053 06665-07757 1 0.026290 0.192660  338.0 00.50000 018.00000 
054 06673-06759 1 0.002200 0.013300  119.0 00.00000 001.00000 
055 06673-44651 1 0.000800 0.004700  220.0 00.00000 001.00000 
056 06680-07763 1 0.003100 0.018200  350.0 00.00000 001.00000 
057 06680-07763 2 0.003100 0.018200  350.0 00.00000 001.00000 
058 06708-06754 1 0.003600 0.018400  182.0 00.50000 018.00000 
059 06708-06754 2 0.003600 0.018200  237.0 00.50000 018.00000 
